Country,Measure_Type,Product,Year,Unit,Value
Grenada,Production,Processed Tea,2021,t,8
Grenada,Production,Processed Tea,2022,t,9
Guatemala,Production,Processed Tea,2020,t,146
Guatemala,Production,Processed Tea,2021,t,138
Guatemala,Production,Processed Tea,2022,t,142
Guinea-Bissau,Production,Processed Tea,2019,t,12
Guinea-Bissau,Production,Processed Tea,2020,t,12
Guinea-Bissau,Production,Processed Tea,2021,t,12
Guinea-Bissau,Production,Processed Tea,2022,t,13
Guyana,Production,Processed Tea,2019,t,56
Guyana,Production,Processed Tea,2020,t,67
Guyana,Production,Processed Tea,2021,t,67
Guyana,Production,Processed Tea,2022,t,65
Haiti,Production,Processed Tea,2020,t,2
Haiti,Production,Processed Tea,2021,t,0
Hungary,Production,Processed Tea,2020,t,155
Hungary,Production,Processed Tea,2021,t,161
Hungary,Production,Processed Tea,2022,t,160
India,Production,Processed Tea,2019,t,1390080
India,Production,Processed Tea,2020,t,1261545
India,Production,Processed Tea,2021,t,1348748
India,Production,Processed Tea,2022,t,1372835
Indonesia,Production,Processed Tea,2019,t,128724
Indonesia,Production,Processed Tea,2020,t,144064
Indonesia,Production,Processed Tea,2021,t,137837
Indonesia,Production,Processed Tea,2022,t,124661
Iran,Production,Processed Tea,2019,t,35000
Iran,Production,Processed Tea,2020,t,34000
Iran,Production,Processed Tea,2021,t,32000
Iran,Production,Processed Tea,2022,t,32000
Ireland,Production,Processed Tea,2019,t,2426
Ireland,Production,Processed Tea,2020,t,2288
Ireland,Production,Processed Tea,2021,t,1872
Ireland,Production,Processed Tea,2022,t,1992
Israel,Production,Processed Tea,2019,t,216
Israel,Production,Processed Tea,2020,t,360
Israel,Production,Processed Tea,2021,t,336
Israel,Production,Processed Tea,2022,t,359
Italy,Production,Processed Tea,2020,t,1440
Italy,Production,Processed Tea,2021,t,1496
Italy,Production,Processed Tea,2022,t,1560
Japan,Production,Processed Tea,2019,t,81700
Japan,Production,Processed Tea,2020,t,69800
Japan,Production,Processed Tea,2021,t,78100
Japan,Production,Processed Tea,2022,t,70000
Jordan,Production,Processed Tea,2020,t,2052
Jordan,Production,Processed Tea,2021,t,799
Jordan,Production,Processed Tea,2022,t,845
Kazakhstan,Production,Processed Tea,2021,t,6816
Kazakhstan,Production,Processed Tea,2022,t,5739
Kenya,Production,Processed Tea,2019,t,458850
Kenya,Production,Processed Tea,2020,t,569500
Kenya,Production,Processed Tea,2021,t,537800
Kenya,Production,Processed Tea,2022,t,535000
Kiribati,Production,Processed Tea,2019,t,3
Kiribati,Production,Processed Tea,2020,t,18
Kiribati,Production,Processed Tea,2021,t,11
Kiribati,Production,Processed Tea,2022,t,12
Kuwait,Production,Processed Tea,2022,t,1752
Kyrgyzstan,Production,Processed Tea,2021,t,1618
Kyrgyzstan,Production,Processed Tea,2022,t,2240
Lao People's Democratic Republic,Production,Processed Tea,2019,t,1392
Lao People's Democratic Republic,Production,Processed Tea,2020,t,1704
Lao People's Democratic Republic,Production,Processed Tea,2021,t,67
Lao People's Democratic Republic,Production,Processed Tea,2022,t,3600
Lebanon,Production,Processed Tea,2019,t,745
Lebanon,Production,Processed Tea,2020,t,682
Lebanon,Production,Processed Tea,2021,t,862
Lebanon,Production,Processed Tea,2022,t,541
Lesotho,Production,Processed Tea,2021,t,433
Lesotho,Production,Processed Tea,2022,t,488
Lithuania,Production,Processed Tea,2020,t,135
Lithuania,Production,Processed Tea,2021,t,138
Lithuania,Production,Processed Tea,2022,t,153
Luxembourg,Production,Processed Tea,2020,t,34
Luxembourg,Production,Processed Tea,2021,t,34
Luxembourg,Production,Processed Tea,2022,t,31
Madagascar,Production,Processed Tea,2020,t,76
Madagascar,Production,Processed Tea,2021,t,91
Madagascar,Production,Processed Tea,2022,t,94
Malawi,Production,Processed Tea,2019,t,48193
Malawi,Production,Processed Tea,2020,t,45173
Malawi,Production,Processed Tea,2021,t,50600
Malawi,Production,Processed Tea,2022,t,47800
Malaysia,Production,Processed Tea,2021,t,6730
Malaysia,Production,Processed Tea,2022,t,9658
Mali,Production,Processed Tea,2020,t,1440
Mali,Production,Processed Tea,2021,t,1704
Mali,Production,Processed Tea,2022,t,4200
Mauritius,Production,Processed Tea,2019,t,1583
Mauritius,Production,Processed Tea,2020,t,1083
Mauritius,Production,Processed Tea,2021,t,1097
Mauritius,Production,Processed Tea,2022,t,1156
Mexico,Production,Processed Tea,2021,t,279
Mexico,Production,Processed Tea,2022,t,348
Mozambique,Production,Processed Tea,2019,t,6440
Mozambique,Production,Processed Tea,2020,t,6800
Mozambique,Production,Processed Tea,2021,t,483
Mozambique,Production,Processed Tea,2022,t,555
Myanmar,Production,Processed Tea,2019,t,24091
Myanmar,Production,Processed Tea,2020,t,23000
Myanmar,Production,Processed Tea,2021,t,26645
Myanmar,Production,Processed Tea,2022,t,26645
Namibia,Production,Processed Tea,2020,t,240
Namibia,Production,Processed Tea,2021,t,319
Namibia,Production,Processed Tea,2022,t,270
Nauru,Production,Processed Tea,2019,t,1
Nauru,Production,Processed Tea,2020,t,1
Nauru,Production,Processed Tea,2021,t,1
