Country,Year,Tea_Type,Trade_Flow,Trade USD,Weight tones
Aruba,2022,Green Tea,Export,6.7,0
Aruba,2022,Green Tea,Import,84388.27,14.02
Australia,2019,Black Tea,Export,3577763.25,1028.38
Australia,2019,Black Tea,Import,92697892,12523.63
Australia,2019,Green Tea,Export,4634799.75,377.5
Australia,2019,Green Tea,Import,16812489.75,1471.57
Australia,2020,Black Tea,Export,3679065.88,888.52
Australia,2020,Black Tea,Import,90878284,10935.5
Australia,2020,Green Tea,Export,3358774.88,344.86
Australia,2020,Green Tea,Import,14426075.25,382.6
Australia,2021,Black Tea,Export,4965942.38,893.02
Australia,2021,Black Tea,Import,99040225,980.94
Australia,2021,Green Tea,Export,3138015.19,324.79
Australia,2021,Green Tea,Import,16254986.75,1334.64
Australia,2022,Black Tea,Export,4048422,687.74
Australia,2022,Black Tea,Import,107606628,12787.61
Australia,2022,Green Tea,Export,3314723.34,375.86
Australia,2022,Green Tea,Import,16538712.25,1330.93
Austria,2019,Black Tea,Export,6502958.52,788.94
Austria,2019,Black Tea,Import,19819872.5,2589.12
Austria,2019,Green Tea,Export,2473830.66,185.89
Austria,2019,Green Tea,Import,7969384.88,805.55
Austria,2020,Black Tea,Export,8442018.13,776.45
Austria,2020,Black Tea,Import,14618457.88,1965.17
Austria,2020,Green Tea,Export,4040686.34,372.48
Austria,2020,Green Tea,Import,6813624,585.72
Austria,2021,Black Tea,Export,6974320.53,789.84
Austria,2021,Black Tea,Import,17266338.75,2550.63
Austria,2021,Green Tea,Export,4584475.13,494.05
Austria,2021,Green Tea,Import,8064525.25,669.14
Austria,2022,Black Tea,Export,6779093.19,818.37
Austria,2022,Black Tea,Import,17343684.25,2481.32
Austria,2022,Green Tea,Export,4105616.55,444.77
Austria,2022,Green Tea,Import,7577279,714.23
Azerbaijan,2019,Black Tea,Export,9058205.84,1390.87
Azerbaijan,2019,Black Tea,Import,53961978,13833.17
Azerbaijan,2019,Green Tea,Export,452126.74,115.07
Azerbaijan,2019,Green Tea,Import,1087006.72,262.74
Azerbaijan,2020,Black Tea,Export,8979887.73,1253.02
Azerbaijan,2020,Black Tea,Import,54901630,13709.91
Azerbaijan,2020,Green Tea,Export,481486.84,104.2
Azerbaijan,2020,Green Tea,Import,1285522.44,274.99
Azerbaijan,2021,Black Tea,Export,8048256.8,1024.88
Azerbaijan,2021,Black Tea,Import,60422917,13763.93
Azerbaijan,2021,Green Tea,Export,443470.84,90.77
Azerbaijan,2021,Green Tea,Import,1435287.66,201.3
Azerbaijan,2022,Black Tea,Export,11141765.75,1697.36
Azerbaijan,2022,Black Tea,Import,74029697,14186.9
Azerbaijan,2022,Green Tea,Export,374968.68,82.27
Azerbaijan,2022,Green Tea,Import,1439791.34,219.24
Bahamas,2019,Black Tea,Import,1252133.19,189.95
Bahamas,2019,Green Tea,Export,325,0.06
Bahamas,2019,Green Tea,Import,450513.8,70.32
Bahamas,2020,Black Tea,Import,856263,130.77
Bahamas,2020,Green Tea,Import,336606,51.86
Bahamas,2021,Black Tea,Export,20,0
Bahamas,2021,Black Tea,Import,1147528,121.33
Bahamas,2021,Green Tea,Export,5471,0.83
Bahamas,2021,Green Tea,Import,652479,72.26
Bahamas,2021,Green Tea,Re-Export,2971,0.68
Bahamas,2022,Black Tea,Export,38,0.03
Bahamas,2022,Black Tea,Import,866166,131.22
Bahamas,2022,Black Tea,Re-Export,38,0.03
Bahamas,2022,Green Tea,Import,509389,69.49
Bahrain,2019,Black Tea,Export,238621.69,35.08
Bahrain,2019,Black Tea,Import,13179303.25,1633.69
Bahrain,2019,Green Tea,Export,10199.31,0.24
Bahrain,2019,Green Tea,Import,1203217.31,72.49
Bahrain,2020,Black Tea,Export,98241.95,11.74
Bahrain,2020,Black Tea,Import,14535603.5,1739.36
Bahrain,2020,Green Tea,Export,11458.2,0.7
Bahrain,2020,Green Tea,Import,1381763.75,63.86
Bahrain,2021,Black Tea,Export,265766.78,65.17
Bahrain,2021,Black Tea,Import,13575986,1888.71
